2026-02-03 11:59:54 | INFO     | water_balance | info:418 | Loaded Flow Diagram sheet 'Flows_Test': 2 rows, 5 columns
2026-02-03 11:59:54 | DEBUG    | water_balance | debug:414 | Mappings file not found: data\excel_flow_links.json. Skipping mapping cleanup.
2026-02-03 11:59:54 | INFO     | water_balance | info:418 | Flow Diagram Excel cache cleared
2026-02-03 11:59:54 | INFO     | water_balance | info:418 | Deleted column 'Sump_to_Plant' from 'Flows_Test'
2026-02-03 11:59:54 | INFO     | water_balance | info:418 | Loaded Flow Diagram sheet 'Flows_Test': 2 rows, 4 columns
2026-02-03 11:59:55 | INFO     | water_balance | info:418 | Flow Diagram Excel cache cleared
2026-02-03 11:59:55 | ERROR    | water_balance | error:426 | Column 'NonExistent' not found in sheet 'Flows_Test'
2026-02-03 11:59:55 | INFO     | water_balance | info:418 | Loaded Flow Diagram sheet 'Flows_Test': 2 rows, 5 columns
2026-02-03 11:59:55 | INFO     | water_balance | info:418 | Flow Diagram Excel cache cleared
2026-02-03 11:59:55 | INFO     | water_balance | info:418 | Loaded Flow Diagram sheet 'Flows_Test': 2 rows, 5 columns
2026-02-03 11:59:55 | ERROR    | water_balance | error:426 | Column 'NonExistent' not found in sheet 'Flows_Test'
2026-02-03 11:59:55 | INFO     | water_balance | info:418 | Flow Diagram Excel cache cleared
2026-02-03 11:59:55 | ERROR    | water_balance | error:426 | Column 'Sump_to_Plant' already exists in sheet 'Flows_Test'
2026-02-03 11:59:55 | INFO     | water_balance | info:418 | Loaded Flow Diagram sheet 'Flows_Test': 2 rows, 5 columns
2026-02-03 11:59:55 | INFO     | water_balance | info:418 | Flow Diagram Excel cache cleared
2026-02-03 11:59:55 | INFO     | water_balance | info:418 | Loaded Flow Diagram sheet 'Flows_Test': 2 rows, 5 columns
2026-02-03 11:59:55 | INFO     | water_balance | info:418 | Flow Diagram Excel cache cleared
2026-02-03 11:59:55 | INFO     | water_balance | info:418 | Created flow column 'Test_Col' in 'Flows_Test'
2026-02-03 11:59:55 | INFO     | water_balance | info:418 | Loaded Flow Diagram sheet 'Flows_Test': 2 rows, 6 columns
2026-02-03 11:59:55 | INFO     | water_balance | info:418 | Flow Diagram Excel cache cleared
2026-02-03 11:59:55 | INFO     | water_balance | info:418 | Created flow column 'Sample_Flow_1' in 'Flows_Test'
2026-02-03 12:01:03 | DEBUG    | water_balance | __init__:408 | ============================================================
2026-02-03 12:01:03 | DEBUG    | water_balance | __init__:409 | Water Balance Application Started
2026-02-03 12:01:03 | DEBUG    | water_balance | __init__:410 | ============================================================
2026-02-03 12:01:05 | INFO     | water_balance | info:418 | Loaded Meter Readings: 237 rows, 90 columns
2026-02-03 12:01:09 | DEBUG    | water_balance | debug:414 | Disk cache HIT: Boreholes Q3 2021.xls
2026-02-03 12:01:09 | DEBUG    | water_balance | debug:414 | Disk cache HIT: Copy of Boreholes Q4 2021.xls
2026-02-03 12:01:09 | DEBUG    | water_balance | debug:414 | Disk cache HIT: Copy of Pollution control dams Q3 2021.xls
2026-02-03 12:01:09 | DEBUG    | water_balance | debug:414 | Disk cache HIT: Boreholes Static Levels April - June  2021.xls
2026-02-03 12:01:09 | DEBUG    | water_balance | debug:414 | Disk cache HIT: Boreholes Static Levels April - June  2022.xls
2026-02-03 12:01:09 | DEBUG    | water_balance | debug:414 | Disk cache HIT: Copy Pollution control dams Q4 2022.xls
2026-02-03 12:01:09 | DEBUG    | water_balance | debug:414 | Disk cache HIT: Copy of Boreholes Q4 2022.xls
2026-02-03 12:01:09 | DEBUG    | water_balance | debug:414 | Disk cache HIT: Boreholes Static Levels Q 3  2022.xls
2026-02-03 12:01:09 | DEBUG    | water_balance | debug:414 | Disk cache HIT: Pollution control dams Q4 2021.xls
2026-02-03 12:01:09 | DEBUG    | water_balance | debug:414 | Disk cache HIT: Boreholes Static Levels Q3  2021.xls
2026-02-03 12:01:10 | INFO     | water_balance | info:418 | Cache performance: 3/3 files from cache (100.0% hit rate), 0 files parsed
2026-02-03 12:01:10 | INFO     | water_balance | info:418 | Cache performance: 3/3 files from cache (100.0% hit rate), 0 files parsed
2026-02-03 12:01:10 | INFO     | water_balance | info:418 | Cache performance: 4/4 files from cache (100.0% hit rate), 0 files parsed
2026-02-03 12:01:10 | DEBUG    | water_balance | debug:414 | Memory cache HIT: Boreholes Static Levels April - June  2021.xls
