2026-01-31 00:49:04 | INFO     | set_cache_functions:101 | Cache functions configured
2026-01-31 00:49:04 | INFO     | load_directory:112 | Set load directory: C:/Users/Caliphs Zvinowanda/OneDrive/Desktop/Monitoring Borehole
2026-01-31 00:49:04 | INFO     | run:169 | Found 3 Excel files in C:\Users\Caliphs Zvinowanda\OneDrive\Desktop\Monitoring Borehole
2026-01-31 00:49:04 | DEBUG    | run:194 | Cache HIT: Boreholes Q3 2021.xls
2026-01-31 00:49:04 | DEBUG    | run:194 | Cache HIT: Copy of Boreholes Q4 2021.xls
2026-01-31 00:49:04 | DEBUG    | run:194 | Cache HIT: Copy of Boreholes Q4 2022.xls
2026-01-31 00:49:04 | INFO     | run:250 | Combined 3 files into DataFrame: 46 total rows, 14 columns
2026-01-31 00:49:04 | INFO     | run:269 | Cache performance: 3 cached, 0 parsed, 3 total
2026-01-31 00:49:04 | INFO     | run:277 | Directory loading complete
2026-01-31 00:52:08 | INFO     | get_dashboard_logger:565 | === MONITORING.BOREHOLE_MONITORING Dashboard Logger Initialized ===
2026-01-31 00:52:08 | INFO     | __init__:90 | DirectoryLoadWorker initialized for borehole_monitoring
2026-01-31 00:52:08 | INFO     | set_cache_functions:101 | Cache functions configured
2026-01-31 00:52:08 | INFO     | load_directory:112 | Set load directory: C:/Users/Caliphs Zvinowanda/OneDrive/Desktop/Monitoring Borehole
2026-01-31 00:52:08 | INFO     | run:169 | Found 3 Excel files in C:\Users\Caliphs Zvinowanda\OneDrive\Desktop\Monitoring Borehole
2026-01-31 00:52:08 | DEBUG    | run:194 | Cache HIT: Boreholes Q3 2021.xls
2026-01-31 00:52:08 | DEBUG    | run:194 | Cache HIT: Copy of Boreholes Q4 2021.xls
2026-01-31 00:52:08 | DEBUG    | run:194 | Cache HIT: Copy of Boreholes Q4 2022.xls
2026-01-31 00:52:08 | INFO     | run:250 | Combined 3 files into DataFrame: 46 total rows, 14 columns
2026-01-31 00:52:08 | INFO     | run:269 | Cache performance: 3 cached, 0 parsed, 3 total
2026-01-31 00:52:08 | INFO     | run:277 | Directory loading complete
2026-01-31 00:54:19 | INFO     | get_dashboard_logger:565 | === MONITORING.BOREHOLE_MONITORING Dashboard Logger Initialized ===
2026-01-31 00:54:19 | INFO     | __init__:90 | DirectoryLoadWorker initialized for borehole_monitoring
2026-01-31 00:54:19 | INFO     | set_cache_functions:101 | Cache functions configured
2026-01-31 00:54:19 | INFO     | load_directory:112 | Set load directory: C:/Users/Caliphs Zvinowanda/OneDrive/Desktop/Monitoring Borehole
2026-01-31 00:54:19 | INFO     | run:169 | Found 3 Excel files in C:\Users\Caliphs Zvinowanda\OneDrive\Desktop\Monitoring Borehole
2026-01-31 00:54:19 | DEBUG    | run:194 | Cache HIT: Boreholes Q3 2021.xls
2026-01-31 00:54:19 | DEBUG    | run:194 | Cache HIT: Copy of Boreholes Q4 2021.xls
2026-01-31 00:54:19 | DEBUG    | run:194 | Cache HIT: Copy of Boreholes Q4 2022.xls
2026-01-31 00:54:19 | INFO     | run:250 | Combined 3 files into DataFrame: 46 total rows, 14 columns
2026-01-31 00:54:19 | INFO     | run:269 | Cache performance: 3 cached, 0 parsed, 3 total
